Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
1.61,6.20,9.22,20000.00,44.99,0.16,0.00,0.31,65.96,302.59,1.64,760.00,,,,60.00,652230.00,33.94,67.71
4.07,7.20,8.86,130000.00,45.60,0.09,0.00,0.50,84.75,236.89,1.74,730.00,,,,60.00,652230.00,33.94,67.71
9.41,8.20,8.47,3950000.00,37.83,0.13,0.00,0.56,81.16,210.86,1.40,1030.00,,,179.43,60.00,652230.00,33.94,67.71
14.74,9.50,8.09,25970000.00,36.66,0.31,0.00,0.63,67.02,229.97,1.40,1220.00,,8.83,190.68,60.00,652230.00,33.94,67.71
20.06,10.90,7.75,,44.24,0.33,0.00,0.56,62.92,204.23,1.20,1030.00,,1.41,211.38,60.00,652230.00,33.94,67.71
25.39,12.20,7.51,9830000.00,33.88,0.34,0.00,0.59,63.44,252.07,1.41,1550.00,,11.23,242.03,60.00,652230.00,33.94,67.71
30.72,13.85,7.40,10620000.00,31.89,0.20,0.00,0.64,76.19,304.42,1.50,1760.00,,5.36,263.73,60.00,652230.00,33.94,67.71
36.05,15.30,7.25,15750000.00,28.78,0.20,0.00,0.75,78.95,354.28,1.53,1770.00,,13.83,359.69,60.00,652230.00,33.94,67.71
42.40,16.70,7.49,16170000.00,21.17,0.19,0.00,0.54,73.97,607.83,1.94,3560.00,,3.92,364.66,60.00,652230.00,33.94,67.71
46.74,18.40,7.50,9960000.00,16.53,0.16,0.00,0.78,82.98,975.05,2.25,4880.00,,21.39,437.27,60.00,652230.00,33.94,67.71
42.70,20.00,8.27,36500000.00,15.15,0.19,0.00,0.75,79.79,1182.89,2.46,7110.00,,14.36,543.31,60.00,652230.00,33.94,67.71
43.22,21.80,8.13,28690000.00,12.61,0.18,0.00,0.60,76.92,1436.11,3.23,8930.00,,0.43,591.19,60.00,652230.00,33.94,67.71
69.10,23.00,9.29,62630000.00,15.36,0.14,0.00,0.74,84.09,1324.12,2.61,8080.00,,12.75,638.85,60.00,652230.00,33.94,67.71
68.29,24.80,9.10,268460000.00,16.86,0.22,0.00,0.89,80.18,1060.79,2.46,5990.00,,5.60,624.32,60.00,652230.00,33.94,67.71
89.50,26.10,8.95,6940000.00,18.93,0.16,0.00,1.00,86.21,868.58,2.25,4880.00,,2.72,614.22,60.00,652230.00,33.94,67.71
71.50,27.40,8.79,4890000.00,17.53,0.15,0.00,1.03,87.29,970.08,2.37,5950.00,,1.45,556.01,60.00,652230.00,33.94,67.71
97.70,28.60,9.87,860000.00,19.92,0.15,0.00,1.06,87.60,862.79,2.24,5300.00,,2.26,512.01,60.00,652230.00,33.94,67.71
97.70,29.70,9.79,50330000.00,19.21,0.18,0.00,1.09,85.83,829.31,2.30,4780.00,,2.65,516.68,60.00,652230.00,33.94,67.71
96.62,30.90,9.55,70100000.00,17.96,0.20,0.00,0.97,82.91,924.25,2.44,6070.00,,1.19,485.67,60.00,652230.00,33.94,67.71
97.70,31.90,9.58,4620000.00,18.51,0.18,0.00,0.89,83.18,802.61,2.41,6080.00,,3.91,494.18,60.00,652230.00,33.94,67.71
97.70,33.20,9.35,,,0.12,0.00,0.68,85.00,702.89,,,,-2.35,516.75,60.00,652230.00,33.94,67.71
100.00,38.20,,,,0.14,0.00,4.55,97.01,9029.44,4.13,3170.00,,6.95,1126.68,105.00,28748.00,41.15,20.17
100.00,40.50,,,,0.13,0.00,3.52,96.44,8635.53,3.89,3230.00,,8.29,1281.66,105.00,28748.00,41.15,20.17
100.00,43.20,,,,0.16,0.00,3.48,95.60,9443.56,4.10,3760.00,,4.54,1425.12,105.00,28748.00,41.15,20.17
100.00,46.40,,,,0.10,0.00,5.12,98.08,10756.61,3.80,4070.00,,5.53,1846.12,105.00,28748.00,41.15,20.17
100.00,49.00,,,,0.13,0.00,5.41,97.65,11586.95,3.96,4250.00,,5.51,2373.58,105.00,28748.00,41.15,20.17
100.00,51.90,,,,0.07,0.00,5.32,98.70,11545.62,3.75,4030.00,,5.53,2673.79,105.00,28748.00,41.15,20.17
100.00,54.80,,,,0.09,0.00,4.95,98.21,10976.73,3.46,4010.00,,5.90,2972.74,105.00,28748.00,41.15,20.17
100.00,58.10,,,,0.07,0.00,2.76,97.53,9534.87,3.12,4140.00,,5.98,3595.04,105.00,28748.00,41.15,20.17
100.00,60.80,,,,0.07,0.00,3.76,98.17,10499.33,3.01,4080.00,,7.50,4370.54,105.00,28748.00,41.15,20.17
100.00,63.60,,,,0.00,0.00,5.20,100.00,11524.43,2.98,4220.00,,3.35,4114.13,105.00,28748.00,41.15,20.17
100.00,66.50,,,,0.00,0.00,7.49,100.00,12377.50,2.85,4450.00,,3.71,4094.35,105.00,28748.00,41.15,20.17
100.00,68.90,,,,0.06,0.00,4.09,98.55,10854.65,2.91,4850.00,,2.55,4437.14,105.00,28748.00,41.15,20.17
99.90,71.30,,,,0.00,0.00,4.68,100.00,10652.81,2.57,4360.00,,1.42,4247.63,105.00,28748.00,41.15,20.17
100.00,73.15,,,,0.00,0.00,6.89,100.00,13392.77,2.96,4440.00,,1.00,4413.06,105.00,28748.00,41.15,20.17
99.95,74.60,,,,0.00,0.00,4.68,100.00,11809.46,2.93,4820.00,,1.77,4578.63,105.00,28748.00,41.15,20.17
99.98,76.20,,,,0.00,0.00,5.84,100.00,11824.31,2.69,4620.00,,2.22,3952.80,105.00,28748.00,41.15,20.17
99.89,77.80,,,,0.00,0.00,7.70,100.00,13823.75,2.68,4480.00,,3.31,4124.06,105.00,28748.00,41.15,20.17
99.89,78.70,,,,0.00,0.00,4.48,100.00,12802.36,2.69,5140.00,,3.80,4531.02,105.00,28748.00,41.15,20.17
100.00,79.80,,,,0.00,0.00,8.47,100.00,14609.70,2.57,5110.00,,4.02,5287.66,105.00,28748.00,41.15,20.17
100.00,80.70,,,,0.00,0.00,5.17,100.00,11585.56,2.50,4830.00,,2.11,5395.66,105.00,28748.00,41.15,20.17
100.00,81.30,,,,0.00,0.00,5.31,100.00,11158.00,,,,-3.96,5246.29,105.00,28748.00,41.15,20.17
98.97,97.10,8.91,,0.43,23.84,0.00,0.05,0.21,9746.52,4.18,80050.00,0.05,3.80,1765.03,18.00,2381741.00,28.03,1.66
98.97,97.30,8.79,810000.00,0.43,24.96,0.00,0.07,0.28,9961.64,4.07,78650.00,0.07,3.00,1740.61,18.00,2381741.00,28.03,1.66
98.95,97.80,8.68,310000.00,0.51,25.94,0.00,0.06,0.23,10180.35,4.12,82400.00,0.05,5.60,1781.83,18.00,2381741.00,28.03,1.66
98.93,98.00,8.57,90000.00,0.47,27.54,0.00,0.26,0.94,10510.46,4.08,88190.00,0.23,7.20,2103.38,18.00,2381741.00,28.03,1.66
98.91,98.20,8.46,140000.00,0.44,29.14,0.00,0.25,0.85,10759.02,3.96,89490.00,0.21,4.30,2610.19,18.00,2381741.00,28.03,1.66
98.89,98.50,8.34,160000.00,0.58,31.36,0.00,0.55,1.72,11113.72,3.90,94190.00,0.43,5.90,3113.09,18.00,2381741.00,28.03,1.66
98.87,98.70,7.42,,0.41,32.90,0.00,0.22,0.66,11341.98,4.10,99810.00,0.16,1.70,3478.71,18.00,2381741.00,28.03,1.66
98.85,98.80,7.30,,0.41,34.75,0.00,0.22,0.63,11759.70,4.21,102750.00,0.16,3.40,3950.51,18.00,2381741.00,28.03,1.66
99.30,99.00,6.64,,0.30,37.55,0.00,0.28,0.74,12252.30,4.16,107750.00,0.19,2.40,4923.63,18.00,2381741.00,28.03,1.66
98.85,99.10,6.44,2190000.00,0.31,35.91,0.00,0.30,0.83,12753.12,4.48,112170.00,0.21,1.60,3883.27,18.00,2381741.00,28.03,1.66
98.86,99.20,7.02,400000.00,0.26,42.82,0.00,0.17,0.40,12243.16,4.42,114180.00,0.12,3.60,4480.79,18.00,2381741.00,28.03,1.66
98.89,99.30,6.89,0.00,0.18,47.67,0.00,0.50,1.04,12710.54,4.47,120790.00,0.24,2.90,5455.68,18.00,2381741.00,28.03,1.66
98.76,99.40,6.76,940000.00,0.18,53.36,0.00,0.62,1.15,13624.91,4.72,134929.99,0.22,3.40,5592.22,18.00,2381741.00,28.03,1.66
99.00,99.40,6.62,940000.00,0.13,55.99,0.00,0.33,0.59,14130.74,4.76,139020.00,0.06,2.80,5499.59,18.00,2381741.00,28.03,1.66
99.09,99.50,6.78,940000.00,0.07,60.15,0.00,0.25,0.41,15108.64,5.00,147740.01,0.12,3.80,5493.06,18.00,2381741.00,28.03,1.66
99.19,99.50,7.85,890000.00,0.06,64.46,0.00,0.22,0.34,15616.31,5.05,156270.00,0.10,3.70,4177.89,18.00,2381741.00,28.03,1.66
99.35,99.60,11.88,160000.00,0.08,66.43,0.00,0.34,0.51,15295.14,4.85,154910.00,0.15,3.20,3946.45,18.00,2381741.00,28.03,1.66
99.64,99.60,16.02,10000.00,0.14,70.86,0.00,0.64,0.90,15164.00,4.93,158340.00,0.25,1.30,4109.70,18.00,2381741.00,28.03,1.66
99.70,99.60,16.25,50000.00,0.19,71.32,0.00,0.78,1.08,15971.08,5.19,165539.99,0.29,1.10,4142.02,18.00,2381741.00,28.03,1.66
99.50,99.70,15.93,60000.00,0.16,75.85,0.00,0.84,1.10,16259.05,5.32,171250.00,0.29,1.00,3989.67,18.00,2381741.00,28.03,1.66
99.80,99.70,15.64,,,72.01,0.00,0.72,0.99,14933.81,,,0.30,-5.10,3306.86,18.00,2381741.00,28.03,1.66
