Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2020,97.7,33.2,9.35,47754516.12903226,17.138849206349207,0.12,0.0,0.68,85.0,702.89,3.3002032520325204,,11.809621212121211,-2.35,516.75,60.0,652230.0,33.93911,67.709953
Albania,2020,100.0,81.3,95.71330769230768,47754516.12903226,17.138849206349207,0.0,0.0,5.31,100.0,11158.0,3.3002032520325204,,11.809621212121211,-3.96,5246.29,105.0,28748.0,41.153332,20.168331
Algeria,2020,99.8,99.7,15.64,47754516.12903226,17.138849206349207,71.78,0.0,0.72,0.99,14933.81,3.3002032520325204,,0.3,-5.1,3306.86,18.0,1244230.5,28.033886,1.659626
Angola,2020,46.89,50.2,115.43,47754516.12903226,17.138849206349207,4.49,0.0,12.1,72.94,3527.16,3.3002032520325204,,11.809621212121211,-5.26,1776.17,26.0,1244230.5,-11.202692,17.873887
Antigua and Barbuda,2020,100.0,100.0,167.98,47754516.12903226,17.138849206349207,0.31,0.0,0.02,6.06,27785.23,3.3002032520325204,,11.809621212121211,-5.26,13992.74,223.0,443.0,17.060816,-61.796428
Argentina,2020,100.0,99.9,286.495,47754516.12903226,17.138849206349207,71.78,10.06,34.050000000000004,33.97,19314.07,3.3002032520325204,,12.18,-5.26,8579.02,17.0,1244230.5,-38.416097,-63.616672
Armenia,2020,100.0,98.1,286.495,47754516.12903226,17.138849206349207,2.98,2.55,1.92,60.0,17086.05,3.3002032520325204,,11.809621212121211,-5.26,4266.02,104.0,29743.0,40.069099,45.038189
Aruba,2017,100.0,72.09883419689119,286.495,47754516.12903226,6.7,0.79,0.0,0.14,15.05,51509.81,3.13,,11.809621212121211,2.0,29350.81,496.5,179.0,12.52111,-69.96833
Aruba,2018,100.0,72.09883419689119,286.495,47754516.12903226,8.02,0.76,0.0,0.15,16.48,49515.11,3.07,,11.809621212121211,-1.5726341463414633,30253.28,496.5,179.0,12.52111,-69.96833
Aruba,2019,100.0,72.09883419689119,286.495,47754516.12903226,7.48,0.77,0.0,0.15,16.3,51107.84,3.2,,11.809621212121211,-1.5726341463414633,31155.749999999996,496.5,179.0,12.52111,-69.96833
Aruba,2020,100.0,72.09883419689119,286.495,47754516.12903226,5.080000000000004,0.73,0.0,0.15,17.05,43496.94,3.520000000000001,,11.809621212121211,-1.5726341463414633,32058.219999999994,496.5,179.0,12.52111,-69.96833
Australia,2020,100.0,100.0,95.71330769230768,47754516.12903226,17.138849206349207,71.78,0.0,34.050000000000004,25.5,61826.21,3.3002032520325204,,10.79,0.0,37414.814999999995,3.0,1244230.5,-25.274398,133.775136
Austria,2020,100.0,100.0,95.71330769230768,47754516.12903226,17.138849206349207,13.77,0.0,34.050000000000004,80.1,45028.27,3.3002032520325204,,38.26,-5.26,37414.814999999995,109.0,83871.0,47.516231,14.550072
Azerbaijan,2020,100.0,96.8,127.35,47754516.12903226,17.138849206349207,23.16,0.0,1.22,5.0,17803.63,3.3002032520325204,,1.98,-4.3,4221.41,123.0,86600.0,40.143105,47.576927
Bahamas,2000,100.0,100.0,0.0,47754516.12903226,0.0,1.57,0.0,0.0,0.0,50650.19,2.33,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2001,100.0,100.0,0.0,47754516.12903226,0.42,1.63,0.0,0.0,0.0,50899.53,2.19,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2002,100.0,100.0,0.0,47754516.12903226,0.38,1.72,0.0,0.0,0.0,52098.81,2.23,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2003,100.0,100.0,0.0,47754516.12903226,1.54,1.81,0.0,0.0,0.0,35908.12,2.32,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2004,100.0,100.0,0.0,47754516.12903226,1.59,1.79,0.0,0.0,0.0,39267.47,2.27,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2005,100.0,100.0,0.0,47754516.12903226,1.71,1.89,0.0,0.0,0.0,37244.64,2.1,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2006,100.0,100.0,0.0,47754516.12903226,2.01,1.93,0.0,0.0,0.0,42663.53,2.0,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2007,100.0,100.0,0.3,47754516.12903226,3.54,2.05,0.0,0.0,0.0,48444.41,2.0,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2008,100.0,100.0,0.29,47754516.12903226,1.97,2.05,0.0,0.0,0.0,46670.27,2.08,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2009,100.0,100.0,0.57,47754516.12903226,1.83,1.95,0.0,0.0,0.0,34584.96,2.23,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2010,100.0,100.0,0.85,47754516.12903226,1.65,1.89,0.0,0.0,0.0,35531.06,2.14,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2011,100.0,100.0,1.14,47754516.12903226,1.42,1.93,0.0,0.0,0.0,30982.49,2.35,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2012,100.0,100.0,1.71,47754516.12903226,1.18,1.79,0.0,0.0,0.0,35422.56,2.5,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2013,100.0,100.0,1.7,47754516.12903226,0.96,1.77,0.0,0.0,0.0,32656.57,2.98,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2014,100.0,100.0,3.44,47754516.12903226,1.14,1.81,0.0,0.0,0.0,31772.07,2.65,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2015,100.0,100.0,3.47,47754516.12903226,1.54,1.88,0.0,0.0,0.0,30096.48,2.33,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
Bahamas,2016,100.0,100.0,3.84,47754516.12903226,1.53,1.85,0.0,0.0,0.0,31247.1,2.12,,11.809621212121211,-1.5726341463414633,13973.745238095238,41.0,13878.0,25.025885,-78.035889
